Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Other,All Adults
United States,0.136,0.161,0.114,0.087,0.201,0.203,0.135
Alabama,0.144,0.161,NSD,NSD,NSD,NSD,0.146
Alaska,0.123,NSD,NSD,NSD,0.131,NSD,0.124
Arizona,0.152,0.17,0.124,NSD,0.164,0.144,0.143
Arkansas,0.132,0.123,NSD,NSD,NSD,NSD,0.133
California,0.15,0.208,0.098,0.086,NSD,NSD,0.127
Colorado,0.126,NSD,0.104,NSD,NSD,NSD,0.122
Connecticut,0.133,0.182,0.154,NSD,NSD,NSD,0.141
Delaware,0.14,0.17,NSD,NSD,NSD,NSD,0.144
District of Columbia,0.138,0.208,NSD,NSD,NSD,NSD,0.172
Florida,0.122,0.11,0.12,NSD,NSD,NSD,0.122
Georgia,0.142,0.143,NSD,NSD,NSD,NSD,0.138
Hawaii,0.123,NSD,0.209,0.141,NSD,0.24,0.162
Idaho,0.119,NSD,NSD,NSD,NSD,NSD,0.123
Illinois,0.149,0.187,NSD,NSD,NSD,NSD,0.14
Indiana,0.144,0.187,NSD,NSD,NSD,NSD,0.146
Iowa,0.125,NSD,NSD,NSD,NSD,NSD,0.132
Kansas,0.135,0.173,0.102,NSD,NSD,0.256,0.136
Kentucky,0.167,0.174,NSD,NSD,NSD,0.289,0.169
Louisiana,0.123,0.144,NSD,NSD,NSD,NSD,0.125
Maine,0.162,NSD,NSD,NSD,NSD,NSD,0.164
Maryland,0.128,0.172,NSD,NSD,NSD,NSD,0.135
Massachusetts,0.167,0.203,0.252,NSD,NSD,0.242,0.176
Michigan,0.145,0.181,NSD,NSD,NSD,0.264,0.153
Minnesota,0.117,0.178,0.117,NSD,NSD,NSD,0.118
Mississippi,0.118,0.136,NSD,NSD,NSD,NSD,0.125
Missouri,0.132,0.209,NSD,NSD,NSD,NSD,0.145
Montana,0.132,NSD,NSD,NSD,0.164,NSD,0.134
Nebraska,0.122,0.198,0.075,NSD,NSD,NSD,0.122
Nevada,0.129,NSD,NSD,NSD,NSD,NSD,0.123
New Hampshire,0.143,NSD,NSD,NSD,NSD,NSD,0.141
New Jersey,0.12,0.176,0.136,NSD,NSD,NSD,0.124
New Mexico,0.147,NSD,0.136,NSD,0.141,NSD,0.144
New York,0.138,0.154,0.207,NSD,NSD,NSD,0.15
North Carolina,0.117,0.132,NSD,NSD,NSD,NSD,0.115
North Dakota,0.116,NSD,NSD,NSD,NSD,NSD,0.122
Ohio,0.139,0.222,NSD,NSD,NSD,NSD,0.15
Oklahoma,0.139,0.179,NSD,NSD,0.179,0.225,0.143
Oregon,0.162,NSD,NSD,NSD,NSD,0.25,0.166
Pennsylvania,0.135,0.174,0.208,NSD,NSD,NSD,0.143
Rhode Island,0.147,NSD,0.174,NSD,NSD,NSD,0.152
South Carolina,0.129,0.133,NSD,NSD,NSD,NSD,0.131
South Dakota,0.108,NSD,NSD,NSD,0.154,NSD,0.112
Tennessee,0.141,0.127,NSD,NSD,NSD,NSD,0.144
Texas,0.121,0.16,0.081,NSD,NSD,NSD,0.111
Utah,0.138,NSD,0.103,NSD,NSD,NSD,0.134
Vermont,0.162,NSD,NSD,NSD,NSD,NSD,0.165
Virginia,0.123,0.145,NSD,NSD,NSD,NSD,0.127
Washington,0.156,NSD,0.133,NSD,NSD,0.156,0.148
West Virginia,0.141,NSD,NSD,NSD,NSD,NSD,0.145
Wisconsin,0.117,0.238,NSD,NSD,NSD,NSD,0.127
Wyoming,0.118,NSD,NSD,NSD,NSD,NSD,0.12
Guam,NSD,NSD,NSD,0.115,NSD,0.148,0.124
Puerto Rico,NSD,NSD,0.172,NSD,NSD,NSD,0.171
