Location,Poor Mental Health Among Adults
United States,0.339
Alabama,0.363
Alaska,0.333
Arizona,0.329
Arkansas,0.354
California,0.345
Colorado,0.35
Connecticut,0.348
Delaware,0.303
District of Columbia,0.347
Florida,0.319
Georgia,0.352
Hawaii,0.294
Idaho,0.345
Illinois,0.391
Indiana,0.37
Iowa,0.32
Kansas,0.293
Kentucky,0.346
Louisiana,0.336
Maine,0.366
Maryland,0.333
Massachusetts,0.358
Michigan,0.379
Minnesota,0.31
Mississippi,0.323
Missouri,0.316
Montana,0.324
Nebraska,0.302
Nevada,0.322
New Hampshire,0.336
New Jersey,0.313
New Mexico,0.334
New York,0.354
North Carolina,0.312
North Dakota,0.312
Ohio,0.362
Oklahoma,0.335
Oregon,0.39
Pennsylvania,0.354
Rhode Island,0.347
South Carolina,0.347
South Dakota,0.273
Tennessee,0.336
Texas,0.289
Utah,0.377
Vermont,0.345
Virginia,0.294
Washington,0.365
West Virginia,0.341
Wisconsin,0.346
Wyoming,0.306
Guam,0.334
Puerto Rico,0.217
