Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Other
Alabama,0.366,0.385,0.341,NSD,0.45,0.41
Alaska,0.31,0.333,0.379,0.261,0.333,0.403
Arizona,0.333,0.361,0.378,0.264,0.448,0.439
Arkansas,0.358,0.41,0.325,NSD,0.48,0.507
California,0.365,0.39,0.375,0.346,0.454,0.41
Colorado,0.36,0.355,0.339,0.308,0.441,0.431
Connecticut,0.354,0.329,0.368,0.299,NSD,0.425
Delaware,0.318,0.343,0.312,NSD,NSD,0.393
District of Columbia,0.369,0.366,0.351,0.321,NSD,0.498
Florida,0.324,0.377,0.362,0.301,0.463,0.468
Georgia,0.334,0.339,0.32,0.244,0.448,0.371
Hawaii,0.307,0.32,0.371,0.237,NSD,0.342
Idaho,0.351,NSD,0.382,NSD,0.456,0.481
Illinois,0.367,0.424,0.444,0.327,NSD,0.481
Indiana,0.369,0.387,0.387,0.256,0.483,0.526
Iowa,0.303,0.371,0.329,0.362,NSD,0.522
Kansas,0.296,0.328,0.27,0.239,0.377,0.43
Kentucky,0.364,0.369,0.322,NSD,0.546,0.497
Louisiana,0.328,0.351,0.386,NSD,0.438,0.36
Maine,0.358,NSD,0.351,NSD,0.487,0.426
Maryland,0.343,0.326,0.307,0.258,0.403,0.39
Massachusetts,0.358,0.354,0.395,0.283,0.45,0.433
Michigan,0.368,0.382,0.436,0.258,0.464,0.471
Minnesota,0.308,0.329,0.359,0.249,0.354,0.471
Mississippi,0.307,0.354,0.429,NSD,NSD,0.362
Missouri,0.323,0.305,0.352,NSD,0.419,0.429
Montana,0.321,NSD,0.353,NSD,0.414,0.471
Nebraska,0.309,0.314,0.258,0.277,0.43,0.424
Nevada,0.354,0.339,0.321,0.291,0.415,0.415
New Hampshire,0.338,NSD,0.42,NSD,NSD,0.41
New Jersey,0.323,0.304,0.317,0.21,0.306,0.4
New Mexico,0.333,0.332,0.339,0.288,0.331,0.438
New York,0.351,0.385,0.394,0.324,NSD,0.489
North Carolina,0.315,0.309,0.294,0.214,0.359,0.44
North Dakota,0.308,NSD,0.359,NSD,0.361,0.446
Ohio,0.34,0.381,0.389,0.249,0.392,0.45
Oklahoma,0.338,0.371,0.296,0.333,0.362,0.41
Oregon,0.391,0.454,0.402,0.347,NSD,0.488
Pennsylvania,0.346,0.39,0.437,0.309,0.396,0.436
Rhode Island,0.354,0.337,0.356,0.291,0.494,0.44
South Carolina,0.345,0.346,0.298,0.256,0.456,0.504
South Dakota,0.266,NSD,0.318,NSD,0.33,0.441
Tennessee,0.304,0.308,0.299,NSD,NSD,0.328
Texas,0.29,0.341,0.312,0.233,0.314,0.463
Utah,0.388,0.436,0.341,0.293,0.386,0.455
Vermont,0.35,NSD,0.375,NSD,0.391,0.431
Virginia,0.302,0.293,0.303,0.265,0.383,0.372
Washington,0.38,0.365,0.362,0.305,0.455,0.471
West Virginia,0.329,0.345,0.35,NSD,NSD,0.391
Wisconsin,0.34,0.465,0.461,0.353,0.358,0.481
Wyoming,0.307,NSD,0.39,NSD,0.371,0.382
Guam,0.234,NSD,0.364,0.293,NSD,0.373
Puerto Rico,NSD,NSD,0.231,NSD,NSD,NSD
