Location,Male,Female
Alabama,0.235,0.19
Alaska,0.213,0.184
Arizona,0.192,0.139
Arkansas,0.262,0.234
California,0.163,0.095
Colorado,0.169,0.146
Connecticut,0.175,0.135
Delaware,0.235,0.166
District of Columbia,0.184,0.146
Florida,0.2,0.155
Georgia,0.214,0.136
Hawaii,0.162,0.121
Idaho,0.164,0.155
Illinois,0.187,0.145
Indiana,0.245,0.215
Iowa,0.199,0.172
Kansas,0.195,0.167
Kentucky,0.272,0.252
Louisiana,0.276,0.207
Maine,0.21,0.178
Maryland,0.168,0.126
Massachusetts,0.167,0.129
Michigan,0.237,0.189
Minnesota,0.179,0.148
Mississippi,0.232,0.227
Missouri,0.219,0.194
Montana,0.2,0.199
Nebraska,0.185,0.162
Nevada,0.202,0.137
New Hampshire,0.184,0.167
New Jersey,0.178,0.126
New Mexico,0.22,0.165
New York,0.17,0.12
North Carolina,0.219,0.165
North Dakota,0.234,0.163
Ohio,0.217,0.204
Oklahoma,0.231,0.191
Oregon,0.182,0.158
Pennsylvania,0.21,0.189
Rhode Island,0.188,0.139
South Carolina,0.241,0.191
South Dakota,0.187,0.184
Tennessee,0.26,0.226
Texas,0.167,0.125
Utah,0.112,0.082
Vermont,0.178,0.15
Virginia,0.226,0.166
Washington,0.169,0.138
West Virginia,0.278,0.256
Wisconsin,0.187,0.161
Wyoming,0.207,0.182
Guam,0.343,0.242
Puerto Rico,0.164,0.068
