Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Other,All Adults
Alabama,0.219,0.202,NSD,NSD,NSD,NSD,0.211
Alaska,0.176,NSD,NSD,NSD,0.382,NSD,0.199
Arizona,0.176,0.162,0.14,NSD,NSD,0.261,0.165
Arkansas,0.245,0.289,NSD,NSD,NSD,NSD,0.247
California,0.137,0.232,0.114,0.094,NSD,NSD,0.128
Colorado,0.148,0.228,0.174,NSD,NSD,0.267,0.157
Connecticut,0.141,0.185,0.206,NSD,NSD,NSD,0.154
Delaware,0.22,0.171,NSD,NSD,NSD,NSD,0.199
District of Columbia,0.073,0.26,NSD,NSD,NSD,NSD,0.164
Florida,0.189,0.151,0.153,NSD,NSD,NSD,0.176
Georgia,0.193,0.146,NSD,NSD,NSD,NSD,0.174
Hawaii,0.101,NSD,0.23,0.104,NSD,0.221,0.141
Idaho,0.161,NSD,NSD,NSD,NSD,NSD,0.159
Illinois,0.163,0.245,0.129,NSD,NSD,NSD,0.165
Indiana,0.231,0.271,NSD,NSD,NSD,NSD,0.229
Iowa,0.181,NSD,NSD,NSD,NSD,NSD,0.185
Kansas,0.175,0.255,0.142,NSD,NSD,0.383,0.181
Kentucky,0.255,0.297,NSD,NSD,NSD,0.415,0.262
Louisiana,0.238,0.246,NSD,NSD,NSD,NSD,0.24
Maine,0.185,NSD,NSD,NSD,NSD,NSD,0.193
Maryland,0.155,0.168,NSD,NSD,NSD,NSD,0.146
Massachusetts,0.144,0.166,0.171,NSD,NSD,0.287,0.147
Michigan,0.201,0.223,NSD,NSD,NSD,NSD,0.212
Minnesota,0.159,0.223,0.143,NSD,0.386,NSD,0.163
Mississippi,0.253,0.207,NSD,NSD,NSD,NSD,0.23
Missouri,0.208,0.212,NSD,NSD,NSD,NSD,0.206
Montana,0.178,NSD,NSD,NSD,0.431,NSD,0.199
Nebraska,0.17,0.199,0.14,NSD,0.466,0.347,0.173
Nevada,0.172,NSD,0.158,NSD,NSD,NSD,0.17
New Hampshire,0.173,NSD,NSD,NSD,NSD,NSD,0.175
New Jersey,0.159,0.18,0.142,NSD,NSD,NSD,0.151
New Mexico,0.192,NSD,0.2,NSD,0.118,NSD,0.191
New York,0.15,0.161,0.141,NSD,NSD,NSD,0.144
North Carolina,0.194,0.206,0.117,NSD,NSD,NSD,0.191
North Dakota,0.176,NSD,NSD,NSD,0.479,NSD,0.199
Ohio,0.207,0.22,NSD,NSD,NSD,NSD,0.21
Oklahoma,0.202,0.256,NSD,NSD,0.265,0.385,0.211
Oregon,0.171,NSD,NSD,NSD,NSD,0.213,0.17
Pennsylvania,0.194,0.241,NSD,NSD,NSD,NSD,0.199
Rhode Island,0.162,NSD,NSD,NSD,NSD,NSD,0.163
South Carolina,0.209,0.219,NSD,NSD,NSD,0.328,0.215
South Dakota,0.167,NSD,NSD,NSD,0.43,NSD,0.186
Tennessee,0.247,0.215,NSD,NSD,NSD,NSD,0.242
Texas,0.161,0.139,0.134,NSD,NSD,NSD,0.145
Utah,0.093,NSD,0.104,NSD,NSD,NSD,0.097
Vermont,0.159,NSD,NSD,NSD,NSD,NSD,0.164
Virginia,0.202,0.195,NSD,NSD,NSD,NSD,0.195
Washington,0.153,NSD,0.133,NSD,NSD,NSD,0.153
West Virginia,0.267,NSD,NSD,NSD,NSD,NSD,0.267
Wisconsin,0.164,0.351,NSD,NSD,NSD,NSD,0.174
Wyoming,0.188,NSD,NSD,NSD,NSD,NSD,0.195
Guam,NSD,NSD,NSD,0.293,NSD,0.322,0.292
Puerto Rico,NSD,NSD,0.111,NSD,NSD,NSD,0.113
